dim_isrc_sk,hg_stock_id,isrc
34c8a77b31ec3e76ab880ec9e1f50b1a,P(2_B_O)_A2502_LTH01_03,QT2WN2501200
21abba9318f811cab2cca17db56718da,P(2_B_O)_A2502_NAM01_01,QT2WN2501201
e6f9f0ae3d640eabc8a5605854d85b7b,P(2_B_O)_A2502_NAM01_02,QT2WN2501202
f6d65e311cea5111a3cc893c7e9df8ec,SA(2_B_O)_A2502_AM01_01,QT2WN2501287
327db3ed38ecb6ee344f6e4d5be7e35a,SA(2_B_O)_A2502_AM01_02,QT2WN2501288
c1c8c0cffe1ea5cadaef1cdd740b3e5b,SA(2_B_O)_A2502_AM01_03,QT2WN2501289
81eedea746966974bcada23e932b0782,SA(2_B_O)_A2502_AM01_04,QT2WN2501290
6adfeb7763b16e47f93a8dc0de59f88f,SA(2_B_O)_A2502_AM01_05,QT2WN2501291
48e24cb335f715049737ab946d58febc,SA(2_B_O)_A2502_AM01_06,QT2WN2501292
6db619edd18f5186115a837d5f60097c,SA(2_B_O)_A2502_AM01_07,QT2WN2501293
d748d5a770a4ec0bf4588fd25ca49450,SA(2_B_O)_A2502_AM01_08,QT2WN2501294
c1f64064490f63fa749b1f881416d308,SA(2_B_O)_A2502_PS01_01,QT2WN2501295
5fb9e3aba4ba448b41db9eb8375b9c0f,SA(2_B_O)_A2502_PS01_02,QT2WN2501296
b53b7879b3e9cabee945823eebc3ffaf,SA(2_B_O)_A2502_PS01_03,QT2WN2501297
5a4af9806248a9e2fb5e309965bb9fd9,SA(2_B_O)_A2502_PS01_04,QT2WN2501298
a1b90521df0df5426789042978a2c592,SA(2_B_O)_B2502_MIO01_01,QT2WN2501299
4809ea4e4ab0870c64841a313848490c,SA(2_B_O)_B2502_MIO01_02,QT2WN2501300
8d16ef751ac3502e7e759c5b871b2cbf,SA(2_B_O)_B2502_MIO01_03,QT2WN2501301
4eddb02e22516acb45f0e6acad5adca4,SA(2_B_O)_B2502_MIO01_04,QT2WN2501302
