fact_khsx_detail_sk,production_plan_detail_id,production_plan_id,production_manager,ar_manager,status
a8e864d04c95572d1aece099af852d0a,780,10,31,40,draft
24896ee4c6526356cc127852413ea3b4,915,10,31,50,approved
215a71a12769b056c3c32e7299f1c5ed,1397,19,31,35,draft
884ce4bb65d328ecb03c598409e2b168,1254,12,32,49,approved
4f87658ef0de194413056248a00ce009,1340,16,30,3298,draft
7143d7fbadfa4693b9eec507d9d37443,781,10,31,40,draft
72da7fd6d1302c0a159f6436d01e9eb0,782,10,31,40,draft
f29c21d4897f78948b91f03172341b7b,613,9,31,38,draft
9cf81d8026a9018052c429cc4e56739b,604,9,32,37,approved
6e0721b2c6977135b916ef286bcb49ec,783,10,31,40,draft
fc8001f834f6a5f0561080d134d53d29,784,10,31,40,draft
991de292e76f74f3c285b3f6d57958d5,1469,19,31,39,draft
6bc24fc1ab650b25b4114e93a98f1eba,736,10,30,38,draft
5737034557ef5b8c02c0e46513b98f90,539,9,33,47,draft
5dd9db5e033da9c6fb5ba83c7a7ebea9,671,10,30,35,draft
556f391937dfd4398cbac35e050a2177,684,10,32,36,draft
42ffcf057e133f94c1b7b5cf543ef3bd,1470,19,31,39,draft
8b0d268963dd0cfb808aac48a549829f,1471,19,31,39,draft
3eb71f6293a2a31f3569e10af6552658,1170,12,32,43,draft
2ac2406e835bd49c70469acae337d292,1181,12,30,44,draft
5cbdfd0dfa22a3fca7266376887f549b,1501,19,31,39,approved
61b4a64be663682e8cb037d9719ad8cd,786,10,31,40,draft
31fefc0e570cb3860f2a6d4b38c6490d,187,9,30,35,approved
0829424ffa0d3a2547b6c9622c77de03,1289,10,32,39,approved
217eedd1ba8c592db97d0dbe54c7adfc,738,10,33,38,draft
df263d996281d984952c07998dc54358,739,10,33,38,draft
fccb3cdc9acc14a6e70a12f74560c026,680,10,30,35,draft
1595af6435015c77a7149e92a551338e,681,10,30,35,draft
08d98638c6fcd194a4b1e6992063e944,682,10,30,35,draft
8c6744c9d42ec2cb9e8885b54ff744d0,776,10,30,40,draft
3435c378bb76d4357324dd7e69f3cd18,599,9,32,38,approved
1c9ac0159c94d8d0cbedc973445af2da,156,7,31,39,approved
a4a042cf4fd6bfb47701cbc8a1653ada,171,7,31,36,approved
352fe25daf686bdb4edca223c921acea,399,9,31,40,draft
18d8042386b79e2c279fd162df0205c8,400,9,31,40,draft
9b72e31dac81715466cd580a448cf823,540,9,33,47,draft
69cb3ea317a32c4e6143e665fdb20b14,402,9,31,40,draft
bbf94b34eb32268ada57a3be5062fe7d,403,9,31,40,draft
daca41214b39c5dc66674d09081940f0,588,9,33,39,approved
c5ab0bc60ac7929182aadd08703f1ec6,636,9,33,47,draft
3a066bda8c96b9478bb0512f0a43028c,661,9,32,44,draft
2f37d10131f2a483a8dd005b3d14b0d9,658,9,33,47,approved
0e095e054ee94774d6a496099eb1cf6a,1183,12,30,44,draft
5680522b8e2bb01943234bce7bf84534,1185,12,30,44,draft
97275a23ca44226c9964043c8462be96,1476,19,33,39,draft
c042f4db68f23406c6cecf84a7ebb0fe,332,9,30,39,draft
78b9cab19959e4af8ff46156ee460c74,1477,19,33,39,draft
24681928425f5a9133504de568f5f6df,683,10,30,35,draft
edfbe1afcf9246bb0d40eb4d8027d90f,740,10,33,38,draft
5751ec3e9a4feab575962e78e006250d,729,10,31,37,draft
50c3d7614917b24303ee6a220679dab3,718,10,33,37,draft
2afe4567e1bf64d32a5527244d104cea,719,10,33,37,draft
83cdcec08fbf90370fcf53bdd56604ff,1478,19,33,39,draft
a4d2f0d23dcc84ce983ff9157f8b7f88,1215,12,31,49,draft
4e8412ad48562e3c9934f45c3e144d48,1481,19,33,39,draft
56352739f59643540a3a6e16985f62c7,1429,19,33,37,draft
ab541d874c7bc19ab77642849e02b89f,1482,19,31,39,draft
4122cb13c7a474c1976c9706ae36521d,1230,12,32,50,draft
9a3d458322d70046f63dfd8b0153ece4,1193,12,33,45,draft
b2eb7349035754953b57a32e2841bda5,306,9,33,38,draft
6c14da109e294d1e8155be8aa4b1ce8e,1231,12,32,50,draft
e53a0a2978c28872a4505bdb51db06dc,1232,12,32,50,draft
310dcbbf4cce62f762a2aaa148d556bd,333,9,30,39,draft
