id,sequence,expected_employees,no_of_employee,no_of_recruitment,department_id,company_id,contract_type_id,create_uid,write_uid,name,description,requirements,active,create_date,write_date,_source_id,_source_connection,_batch_id,_loaded_at
1,10,2,1,1,,,,6,6,"{""en_US"": ""Trưởng phòng SXN HN"", ""vi_VN"": ""TP""}",,,t,2025-08-17 11:59:30.280167,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
3,10,2,1,1,,,,6,6,"{""en_US"": ""Trợ lý trưởng phòng SXN HN"", ""vi_VN"": ""TLTP""}",,,t,2025-08-17 11:59:30.280167,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
63,10,2,1,1,,,,6,6,"{""en_US"": ""Trưởng nhóm VHLB"", ""vi_VN"": ""Trưởng nhóm VHLB""}",,,t,2025-08-23 08:42:48.483287,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
64,10,2,1,1,,,,6,6,"{""en_US"": ""Senior VHLB"", ""vi_VN"": ""Senior VHLB""}",,,t,2025-08-23 08:42:48.483287,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
65,10,4,3,1,,,,6,6,"{""en_US"": ""Nhân sự VHLB"", ""vi_VN"": ""Nhân sự VHLB""}",,,t,2025-08-23 08:42:48.483287,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
58,10,8,7,1,,,,6,2318,"{""en_US"": ""2D Artist"", ""vi_VN"": ""2D Artist""}",,,t,2025-08-18 17:49:26.327908,2026-01-19 04:01:20.64636,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
5,10,2,1,1,,,,6,6,"{""en_US"": ""Leader quản lý sản xuất"", ""vi_VN"": ""Leader QLSX""}",,,t,2025-08-17 11:59:30.280167,2025-09-01 16:04:55.701512,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
45,10,4,3,1,,,,6,4671,"{""en_US"": ""Resources Development"", ""vi_VN"": ""Business Development""}",,,t,2025-08-18 17:49:26.327908,2026-04-17 07:32:47.183289,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
49,10,7,6,1,,,,6,4671,"{""en_US"": ""Cameraman"", ""vi_VN"": ""Cameraman""}",,,t,2025-08-18 17:49:26.327908,2026-04-17 07:33:16.677074,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
48,10,3,2,1,,,,6,6,"{""en_US"": ""Production Assistant"", ""vi_VN"": ""Production Assistant""}",,,t,2025-08-18 17:49:26.327908,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
62,10,2,1,1,,,,6,4671,"{""en_US"": ""3D Lighting/Compositing Artist"", ""vi_VN"": ""3D Lighting/Compositing Artist""}",,,t,2025-08-18 17:49:26.327908,2026-04-17 07:33:48.495133,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
